;model_name;scaler;eval_training_metric;lags;k_fold;steps_param_trainig;best_params;eval_best_score;test_rmse;test_mape;test_r2;metrica_ponderada
0;LassoModel_0;None;neg_root_mean_squared_error;1;3;1;{'alpha': 0.021544346900318846};-110.30719841824619;467.040625983027;0.24512255049318718;-6.869576273800996;158.05177493577372
1;LassoModel_1;MinMaxScaler();neg_root_mean_squared_error;1;3;1;{'alpha': 0.0016681005372000592};-0.03966995709240414;239.79510953985803;0.08867737344267285;-1.0745441076578475;80.31944367365286
2;LassoModel_2;StandardScaler();neg_root_mean_squared_error;1;3;1;{'alpha': 0.0016681005372000592};-0.20079582251033345;492.3279367613978;0.26020315183013787;-7.744822322191515;166.77765407847315
3;LassoModel_3;None;neg_root_mean_squared_error;2;3;1;{'alpha': 7742.636826811277};-104.35795751361063;223.82709183093493;0.10266326640126422;-0.8074543341096552;74.91240314381528
4;LassoModel_4;MinMaxScaler();neg_root_mean_squared_error;2;3;1;{'alpha': 0.0016681005372000592};-0.03693876077793675;237.42562970893613;0.08862621864369954;-1.033748410891838;79.51600144615722
5;LassoModel_5;StandardScaler();neg_root_mean_squared_error;2;3;1;{'alpha': 0.0016681005372000592};-0.19477404252352168;525.7772517931688;0.2785430091038446;-8.973454567340152;178.34308312320425
6;LassoModel_6;None;neg_root_mean_squared_error;3;3;1;{'alpha': 7742.636826811277};-106.40454760809075;221.97060679871052;0.10125605493866432;-0.7775956060243361;74.28315281989117
7;LassoModel_7;MinMaxScaler();neg_root_mean_squared_error;3;3;1;{'alpha': 0.0001291549665014884};-0.0371139204985359;586.7855202049185;0.31453294020051226;-11.42226547978724;199.50743954163542
8;LassoModel_8;StandardScaler();neg_root_mean_squared_error;3;3;1;{'alpha': 0.0016681005372000592};-0.1462038531582682;592.4306582981719;0.317662075259017;-11.662430652412468;201.4702503419478
9;LassoModel_9;None;neg_root_mean_squared_error;4;3;1;{'alpha': 7742.636826811277};-106.54781559917085;221.5481935802155;0.10090860057431843;-0.7708364641325225;74.13997954830744
10;LassoModel_10;MinMaxScaler();neg_root_mean_squared_error;4;3;1;{'alpha': 0.0001291549665014884};-0.038559962322680295;625.2197344436727;0.33524695962955814;-13.102866175159296;212.8859491928205
11;LassoModel_11;StandardScaler();neg_root_mean_squared_error;4;3;1;{'alpha': 0.0016681005372000592};-0.15372923262010585;655.42835223149;0.35166309359730225;-14.498600274329274;223.4262051998055
12;LassoModel_12;None;neg_root_mean_squared_error;5;3;1;{'alpha': 0.2782559402207126};-90.91209167545101;128.33586194471124;0.049764388480896656;0.40579254917285934;42.65994459467309
13;LassoModel_13;MinMaxScaler();neg_root_mean_squared_error;5;3;1;{'alpha': 0.0016681005372000592};-0.05488678405148998;220.39325251587113;0.08454824085076167;-0.7524216819978866;73.74340747957325
14;LassoModel_14;StandardScaler();neg_root_mean_squared_error;5;3;1;{'alpha': 0.021544346900318846};-0.22837092365970815;233.9549802131647;0.09112585855002407;-0.9747249733120615;78.34027701500892
15;LassoModel_15;None;neg_root_mean_squared_error;6;3;1;{'alpha': 7742.636826811277};-100.75038656134143;224.06698354460272;0.10189625306042674;-0.8113307698952095;74.99340352251946
16;LassoModel_16;MinMaxScaler();neg_root_mean_squared_error;6;3;1;{'alpha': 0.021544346900318846};-0.058052489824963215;565.9966062273213;0.29526415119935934;-10.557653863764353;192.28317474742835
17;LassoModel_17;StandardScaler();neg_root_mean_squared_error;6;3;1;{'alpha': 0.021544346900318846};-0.18961175758948726;260.07402964058366;0.10609342662982332;-1.4402594489604046;87.20679417205797
18;LassoModel_18;None;neg_root_mean_squared_error;7;3;1;{'alpha': 0.0001291549665014884};-107.22209843565618;748.7347249159661;0.359794636059129;-19.225440088302427;256.1066532134426
19;LassoModel_19;MinMaxScaler();neg_root_mean_squared_error;7;3;1;{'alpha': 1e-05};-0.028736684531561307;715.7846712777899;0.3446294475582624;-17.484462087623967;244.53792093765742
20;LassoModel_20;StandardScaler();neg_root_mean_squared_error;7;3;1;{'alpha': 0.0001291549665014884};-0.08917892556207963;711.1348848370882;0.34159008424901105;-17.24508943840337;242.9071881199135
21;LassoModel_21;None;neg_root_mean_squared_error;8;3;1;{'alpha': 7742.636826811277};-111.53386815659785;226.46316283823165;0.10381541318963101;-0.8502787730725023;75.80575234149792
22;LassoModel_22;MinMaxScaler();neg_root_mean_squared_error;8;3;1;{'alpha': 0.021544346900318846};-0.044640118246359384;466.92349186128615;0.2347117746571517;-6.865629378132854;158.0079443380254
23;LassoModel_23;StandardScaler();neg_root_mean_squared_error;8;3;1;{'alpha': 0.021544346900318846};-0.17161660501500173;270.81023732791516;0.11603261236187526;-1.6458924381408497;90.85738745947263
24;LassoModel_24;None;neg_root_mean_squared_error;9;3;1;{'alpha': 7742.636826811277};-110.01419013588982;226.61903483978077;0.10378938817327248;-0.8528267010062642;75.85855030965344
25;LassoModel_25;MinMaxScaler();neg_root_mean_squared_error;9;3;1;{'alpha': 0.0001291549665014884};-0.03687256324665696;507.8323199552734;0.26065764731592084;-8.304278554321229;172.13241871897017
26;LassoModel_26;StandardScaler();neg_root_mean_squared_error;9;3;1;{'alpha': 0.0016681005372000592};-0.1327063014072624;529.9084171195631;0.2630373523216566;-9.130798221131148;179.76741756433864
27;LassoModel_27;None;neg_root_mean_squared_error;10;3;1;{'alpha': 599.4842503189421};-112.15802721756366;217.50334381082362;0.0962591595485566;-0.7067656964285045;72.76878955560024
28;LassoModel_28;MinMaxScaler();neg_root_mean_squared_error;10;3;1;{'alpha': 0.0001291549665014884};-0.039124727231099755;527.8291361250224;0.2719043403385927;-9.051450741402872;179.0508304022546
29;LassoModel_29;StandardScaler();neg_root_mean_squared_error;10;3;1;{'alpha': 0.0016681005372000592};-0.1526240537806597;551.5432733635962;0.2759562775629361;-9.974916232636952;187.26471529126536
30;LassoModel_30;None;neg_root_mean_squared_error;11;3;1;{'alpha': 599.4842503189421};-103.04415181600136;219.0058874065188;0.09197352957496721;-0.7304283008668488;73.27609641232021
31;LassoModel_31;MinMaxScaler();neg_root_mean_squared_error;11;3;1;{'alpha': 0.021544346900318846};-0.041911466891643344;417.57839467339664;0.20121803610893124;-5.290976607147948;141.02352977221784
32;LassoModel_32;StandardScaler();neg_root_mean_squared_error;11;3;1;{'alpha': 0.0016681005372000592};-0.17958424539954496;599.7816466121326;0.31087288312528305;-11.978615724404035;204.0237117398873
33;LassoModel_33;None;neg_root_mean_squared_error;12;3;1;{'alpha': 0.0001291549665014884};-80.17676515615949;205.53810796025812;0.09382728661891747;-0.5241465885092844;68.71869394512878
34;LassoModel_34;MinMaxScaler();neg_root_mean_squared_error;12;3;1;{'alpha': 0.021544346900318846};-0.04175736554389623;410.1493935277137;0.19565392745474788;-5.069126322489842;138.47139125921944
35;LassoModel_35;StandardScaler();neg_root_mean_squared_error;12;3;1;{'alpha': 0.021544346900318846};-0.1931456359173541;265.0835105965813;0.11885657669430916;-1.5351721570315382;88.91251311010238
